# Program:featureCounts v1.5.0-p1; Command:""featureCounts"" ""-a"" ""ws254.saf"" ""-o"" ""counts.txt"" ""-s"" ""2"" ""-F"" ""SAF"" ""1_S1_R1_001"" ""2_S2_R1_001"" ""3_S3_R1_001"" ""4_S4_R1_001"" ""5_S5_R1_001"" ""6_S6_R1_001"" ""7_S7_R1_001"" "
Geneid	Chr	Start	End	Strand	Length	s1_S1_R1_001	s2_S2_R1_001	s3_S3_R1_001	s5_S5_R1_001	s6_S6_R1_001	s7_S7_R1_001
WBGene00048213	chrIV	13757757	13757777	+	21	0	0	0	0	0	0
WBGene00049416	chrIV	13758037	13758057	-	21	0	0	0	0	0	0
WBGene00168174	chrIV	13758304	13758324	-	21	0	0	0	0	0	0
WBGene00170632	chrIV	13758428	13758448	+	21	0	0	0	0	0	0
WBGene00165858	chrIV	13758429	13758449	+	21	0	0	0	0	0	0
WBGene00169203	chrIV	13758482	13758502	-	21	0	0	0	0	0	0
WBGene00046941	chrIV	13758483	13758503	-	21	0	0	0	0	0	0
WBGene00048781	chrIV	13759088	13759108	-	21	0	0	0	0	0	0
WBGene00048860	chrIV	13759091	13759111	+	21	0	0	0	0	0	0
WBGene00050845	chrIV	13759092	13759112	+	21	0	0	0	0	0	0
WBGene00165765	chrIV	13759097	13759117	+	21	0	0	0	0	0	0
WBGene00045698	chrIV	13759239	13759259	+	21	0	0	0	0	0	0
WBGene00172582	chrIV	13759244	13759264	+	21	0	0	0	0	0	0
WBGene00172059	chrIV	13759389	13759409	+	21	0	0	0	0	0	0
WBGene00046570	chrIV	13759730	13759750	-	21	0	0	0	0	0	0
WBGene00171673	chrIV	13759870	13759890	+	21	0	0	0	0	0	0
WBGene00170793	chrIV	13759871	13759891	+	21	0	0	0	0	0	0
WBGene00174159	chrIV	13760005	13760025	-	21	0	0	0	0	0	0
WBGene00050750	chrIV	13760018	13760038	+	21	0	0	0	0	0	0
WBGene00170944	chrIV	13760019	13760039	+	21	0	0	0	0	0	0
WBGene00045897	chrIV	13760220	13760240	+	21	0	0	0	0	0	0
WBGene00050142	chrIV	13760592	13760612	-	21	0	0	0	0	0	0
WBGene00048667	chrIV	13760788	13760808	-	21	0	0	0	0	0	0
WBGene00165372	chrIV	13760789	13760809	-	21	0	0	0	0	0	0
WBGene00170780	chrIV	13760791	13760811	-	21	0	0	0	0	0	0
WBGene00173320	chrIV	13760792	13760812	-	21	0	0	0	0	0	0
WBGene00169165	chrIV	13761044	13761064	-	21	0	0	0	0	0	0
WBGene00050454	chrIV	13761045	13761065	-	21	0	0	0	0	0	0
WBGene00046070	chrIV	13761158	13761178	+	21	0	0	0	0	0	0
WBGene00049116	chrIV	13761159	13761179	+	21	0	0	0	0	0	0
WBGene00048102	chrIV	13761277	13761297	-	21	0	0	0	0	0	0
WBGene00047216	chrIV	13761626	13761646	-	21	0	0	0	0	0	0
WBGene00165588	chrIV	13762055	13762075	+	21	0	0	0	0	0	0
WBGene00169813	chrIV	13762058	13762078	+	21	0	0	0	0	0	0
WBGene00046398	chrIV	13762282	13762302	-	21	0	0	0	0	0	0
WBGene00167497	chrIV	13762512	13762532	-	21	0	0	0	0	0	0
WBGene00172248	chrIV	13762513	13762533	-	21	0	0	0	0	0	0
WBGene00174981	chrIV	13762583	13762603	-	21	0	0	0	0	0	0
WBGene00047139	chrIV	13762729	13762749	+	21	0	0	0	0	0	0
WBGene00166633	chrIV	13763111	13763131	+	21	0	0	0	0	0	0
WBGene00049940	chrIV	13763281	13763301	-	21	0	0	0	0	0	0
WBGene00050401	chrIV	13764125	13764145	-	21	0	0	0	0	0	0
WBGene00169812	chrIV	13764345	13764365	-	21	0	0	0	0	0	0
WBGene00046099	chrIV	13765183	13765203	+	21	0	0	0	0	0	0
WBGene00172392	chrIV	13765560	13765580	+	21	0	0	0	0	0	0
WBGene00168633	chrIV	13765563	13765583	+	21	0	0	0	0	0	0
WBGene00048084	chrIV	13765961	13765981	-	21	0	0	0	0	0	0
WBGene00172995	chrIV	13765965	13765985	-	21	0	0	0	0	0	0
WBGene00169080	chrIV	13766484	13766504	-	21	0	0	0	0	0	0
WBGene00169743	chrIV	13766903	13766923	-	21	0	0	0	0	0	0
WBGene00169844	chrIV	13767514	13767534	+	21	0	0	0	0	0	0
WBGene00047879	chrIV	13767962	13767982	+	21	0	0	0	0	0	0
WBGene00166922	chrIV	13768244	13768264	+	21	0	0	0	0	0	0
WBGene00169094	chrIV	13768455	13768475	+	21	0	0	0	0	0	0
WBGene00049955	chrIV	13768613	13768633	+	21	0	0	0	0	0	0
WBGene00165184	chrIV	13768614	13768634	+	21	0	0	0	0	0	0
WBGene00165683	chrIV	13769271	13769291	+	21	0	0	0	0	0	0
WBGene00172463	chrIV	13769929	13769949	-	21	0	0	0	0	0	0
WBGene00173898	chrIV	13769932	13769952	-	21	0	0	0	0	0	0
WBGene00174483	chrIV	13770090	13770110	+	21	0	0	0	0	0	0
WBGene00174099	chrIV	13770170	13770190	+	21	0	0	0	0	0	0
WBGene00173324	chrIV	13770673	13770693	-	21	0	0	0	0	0	0
WBGene00169327	chrIV	13771468	13771488	+	21	0	0	0	0	0	0
WBGene00048641	chrIV	13771998	13772018	+	21	0	0	0	0	0	0
WBGene00170096	chrIV	13772001	13772021	+	21	0	0	0	0	0	0
WBGene00173240	chrIV	13772685	13772705	-	21	0	0	0	0	0	0
WBGene00012883	chrIV	13773548	13774678	-	1131	28	0	44	31	59	61
WBGene00174104	chrIV	13775223	13775243	-	21	0	0	0	0	0	0
WBGene00044257	chrIV	13776415	13777149	+	735	0	0	2	0	0	0
WBGene00004430	chrIV	13777808	13778812	+	1005	23757	9158	8455	11033	21634	24713
WBGene00001635	chrIV	13778866	13782396	+	3531	737	707	701	846	896	1138
WBGene00012890	chrIV	13782385	13785646	-	3262	410	69	316	321	519	523
WBGene00012885	chrIV	13783962	13784680	+	719	1829	561	1254	1678	2107	2527
WBGene00012889	chrIV	13785743	13786961	-	1219	294	214	142	164	259	310
WBGene00012888	chrIV	13786945	13788727	-	1783	60	57	54	38	39	76
WBGene00012887	chrIV	13788936	13796224	+	7289	935	651	627	717	1060	1187
WBGene00012886	chrIV	13796255	13797904	-	1650	44	75	8	14	0	62
WBGene00169712	chrIV	13796983	13797003	+	21	0	0	0	0	0	0
WBGene00169055	chrIV	13797389	13797409	+	21	0	0	0	0	0	0
WBGene00048078	chrIV	13797404	13797424	-	21	0	0	0	0	0	0
WBGene00172976	chrIV	13797407	13797427	-	21	0	0	0	0	0	0
WBGene00165064	chrIV	13797567	13797587	+	21	0	0	0	0	0	0
WBGene00169370	chrIV	13797643	13797663	-	21	0	0	0	0	0	0
WBGene00174339	chrIV	13797757	13797777	-	21	0	0	0	0	0	0
WBGene00048796	chrIV	13798066	13798086	+	21	0	0	0	0	0	0
WBGene00170285	chrIV	13798095	13798115	-	21	0	0	0	0	0	0
WBGene00045936	chrIV	13798783	13798803	-	21	0	0	0	0	0	0
WBGene00173469	chrIV	13799442	13799462	-	21	0	0	0	0	0	0
WBGene00048317	chrIV	13799942	13799962	-	21	0	0	0	0	0	0
WBGene00049892	chrIV	13799945	13799965	-	21	0	0	0	0	0	0
WBGene00174051	chrIV	13800622	13800642	+	21	0	0	0	0	0	0
WBGene00045635	chrIV	13800750	13800770	-	21	0	0	0	0	0	0
WBGene00047817	chrIV	13801050	13801070	-	21	0	0	0	0	0	0
WBGene00166815	chrIV	13801051	13801071	-	21	0	0	0	0	0	0
WBGene00166342	chrIV	13801661	13801681	-	21	0	0	0	0	0	0
WBGene00171326	chrIV	13801666	13801686	-	21	0	0	0	0	0	0
WBGene00168705	chrIV	13802369	13802389	+	21	0	0	0	0	0	0
WBGene00169933	chrIV	13802430	13802450	+	21	0	0	0	0	0	0
WBGene00172836	chrIV	13802431	13802451	+	21	0	0	0	0	0	0
WBGene00170431	chrIV	13804019	13804039	-	21	0	0	0	0	0	0
WBGene00045740	chrIV	13804023	13804043	-	21	0	0	0	0	0	0
WBGene00012892	chrIV	13804206	13807777	-	3572	2	0	0	1	0	0
WBGene00169995	chrIV	13804281	13804301	-	21	0	0	0	0	0	0
WBGene00169314	chrIV	13805550	13805570	+	21	0	0	0	0	0	0
WBGene00048184	chrIV	13805554	13805574	+	21	0	0	0	0	0	0
WBGene00167753	chrIV	13805840	13805860	-	21	0	0	0	0	0	0
WBGene00050066	chrIV	13805966	13805986	+	21	0	0	0	0	0	0
WBGene00167383	chrIV	13806485	13806505	+	21	0	0	0	0	0	0
WBGene00050321	chrIV	13806857	13806877	-	21	0	0	0	0	0	0
WBGene00168128	chrIV	13807471	13807491	+	21	0	0	0	0	0	0
WBGene00171645	chrIV	13807474	13807494	+	21	0	0	0	0	0	0
WBGene00046466	chrIV	13807551	13807571	+	21	0	0	0	0	0	0
WBGene00167851	chrIV	13807594	13807614	+	21	0	0	0	0	0	0
WBGene00173943	chrIV	13807675	13807695	+	21	0	0	0	0	0	0
WBGene00172180	chrIV	13807961	13807981	-	21	0	0	0	0	0	0
WBGene00171463	chrIV	13808403	13808423	+	21	0	0	0	0	0	0
WBGene00045809	chrIV	13808747	13808767	+	21	0	0	0	0	0	0
WBGene00047546	chrIV	13808965	13808985	-	21	0	0	0	0	0	0
WBGene00165766	chrIV	13808969	13808989	-	21	0	0	0	0	0	0
WBGene00050617	chrIV	13809769	13809789	+	21	0	0	0	0	0	0
WBGene00169539	chrIV	13810077	13810097	+	21	0	0	0	0	0	0
WBGene00047168	chrIV	13810184	13810204	+	21	0	0	0	0	0	0
WBGene00049506	chrIV	13810297	13810317	-	21	0	0	0	0	0	0
WBGene00170728	chrIV	13810872	13810892	+	21	0	0	0	0	0	0
WBGene00170675	chrIV	13810875	13810895	+	21	0	0	0	0	0	0
WBGene00047151	chrIV	13811720	13811740	+	21	0	0	0	0	0	0
WBGene00167360	chrIV	13811835	13811855	+	21	0	0	0	0	0	0
WBGene00050326	chrIV	13811838	13811858	+	21	0	0	0	0	0	0
WBGene00173731	chrIV	13811839	13811859	+	21	0	0	0	0	0	0
WBGene00174028	chrIV	13811922	13811942	+	21	0	0	0	0	0	0
WBGene00165788	chrIV	13812523	13812543	+	21	0	0	0	0	0	0
WBGene00049004	chrIV	13812524	13812544	+	21	0	0	0	0	0	0
WBGene00174762	chrIV	13812778	13812798	-	21	0	0	0	0	0	0
WBGene00165116	chrIV	13813087	13813107	+	21	0	0	0	0	0	0
WBGene00173593	chrIV	13813088	13813108	+	21	0	0	0	0	0	0
WBGene00166234	chrIV	13813444	13813464	-	21	0	0	0	0	0	0
WBGene00050739	chrIV	13813447	13813467	-	21	0	0	0	0	0	0
WBGene00165248	chrIV	13813960	13813980	+	21	0	0	0	0	0	0
WBGene00169676	chrIV	13813997	13814017	-	21	0	0	0	0	0	0
WBGene00173348	chrIV	13813998	13814018	-	21	0	0	0	0	0	0
WBGene00169366	chrIV	13814360	13814380	+	21	0	0	0	0	0	0
WBGene00012893	chrIV	13817487	13820962	-	3476	235	82	87	134	156	257
WBGene00168492	chrIV	13817752	13817772	-	21	0	0	0	0	0	0
WBGene00046923	chrIV	13818023	13818043	+	21	0	0	0	0	0	0
WBGene00050473	chrIV	13818027	13818047	+	21	0	0	0	0	0	0
WBGene00173963	chrIV	13818105	13818125	-	21	0	0	0	0	0	0
WBGene00168106	chrIV	13818296	13818316	+	21	0	0	0	0	0	0
WBGene00047048	chrIV	13818368	13818388	+	21	0	0	0	0	0	0
WBGene00170499	chrIV	13819065	13819085	+	21	0	0	0	0	0	0
WBGene00046957	chrIV	13819066	13819086	+	21	0	0	0	0	0	0
WBGene00050311	chrIV	13819360	13819380	-	21	0	0	0	0	0	0
WBGene00168865	chrIV	13819361	13819381	-	21	0	0	0	0	0	0
WBGene00050684	chrIV	13819491	13819511	-	21	0	0	0	0	0	0
WBGene00170749	chrIV	13819753	13819773	-	21	0	0	0	0	0	0
WBGene00165363	chrIV	13819967	13819987	+	21	0	0	0	0	0	0
WBGene00047138	chrIV	13820102	13820122	-	21	0	0	0	0	0	0
WBGene00048176	chrIV	13820369	13820389	+	21	0	0	0	0	0	0
WBGene00050832	chrIV	13820592	13820612	+	21	0	0	0	0	0	0
WBGene00170537	chrIV	13820695	13820715	+	21	0	0	0	0	0	0
WBGene00050445	chrIV	13820696	13820716	+	21	0	0	0	0	0	0
WBGene00171435	chrIV	13820909	13820929	-	21	0	0	0	0	0	0
WBGene00165764	chrIV	13821318	13821338	+	21	0	0	0	0	0	0
WBGene00173553	chrIV	13821555	13821575	+	21	0	0	0	0	0	0
WBGene00048814	chrIV	13821658	13821678	+	21	0	0	0	0	0	0
WBGene00047845	chrIV	13822039	13822059	+	21	0	0	0	0	0	0
WBGene00165875	chrIV	13822040	13822060	+	21	0	0	0	0	0	0
WBGene00166715	chrIV	13822043	13822063	+	21	0	0	0	0	0	0
WBGene00050483	chrIV	13822346	13822366	-	21	0	0	0	0	0	0
WBGene00048879	chrIV	13822349	13822369	-	21	0	0	0	0	0	0
WBGene00169986	chrIV	13822582	13822602	+	21	0	0	0	0	0	0
WBGene00174118	chrIV	13822761	13822781	-	21	0	0	0	0	0	0
WBGene00165427	chrIV	13822925	13822945	+	21	0	0	0	0	0	0
WBGene00173261	chrIV	13823316	13823336	+	21	0	0	0	0	0	0
WBGene00167580	chrIV	13823658	13823678	+	21	0	0	0	0	0	0
WBGene00173938	chrIV	13823869	13823889	+	21	0	0	0	0	0	0
WBGene00048494	chrIV	13823870	13823890	+	21	0	0	0	0	0	0
WBGene00046994	chrIV	13824087	13824107	+	21	0	0	0	0	0	0
WBGene00047651	chrIV	13824162	13824182	+	21	0	0	0	0	0	0
WBGene00046316	chrIV	13824165	13824185	+	21	0	0	0	0	0	0
WBGene00168071	chrIV	13824320	13824340	+	21	0	0	0	0	0	0
WBGene00046551	chrIV	13825040	13825060	+	21	0	0	0	0	0	0
WBGene00050638	chrIV	13825041	13825061	+	21	0	0	0	0	0	0
WBGene00048918	chrIV	13825140	13825160	+	21	0	0	0	0	0	0
WBGene00048361	chrIV	13825235	13825255	+	21	0	0	0	0	0	0
WBGene00173205	chrIV	13825323	13825343	+	21	0	0	0	0	0	0
WBGene00173186	chrIV	13825480	13825500	+	21	0	0	0	0	0	0
WBGene00173214	chrIV	13825481	13825501	+	21	0	0	0	0	0	0
WBGene00174070	chrIV	13825675	13825695	+	21	0	0	0	0	0	0
WBGene00171093	chrIV	13825772	13825792	+	21	0	0	0	0	0	0
WBGene00050305	chrIV	13825773	13825793	+	21	0	0	0	0	0	0
WBGene00168308	chrIV	13825897	13825917	+	21	0	0	0	0	0	0
WBGene00046535	chrIV	13826078	13826098	+	21	0	0	0	0	0	0
WBGene00174001	chrIV	13826081	13826101	+	21	0	0	0	0	0	0
WBGene00049068	chrIV	13826310	13826330	+	21	0	0	0	0	0	0
WBGene00174653	chrIV	13826854	13826874	+	21	0	0	0	0	0	0
WBGene00048726	chrIV	13827431	13827451	+	21	0	0	0	0	0	0
WBGene00172606	chrIV	13827466	13827486	-	21	0	0	0	0	0	0
WBGene00174941	chrIV	13827866	13827886	+	21	0	0	0	0	0	0
WBGene00010374	chrIV	13827886	13844997	+	17112	732	379	555	565	1213	1082
WBGene00045940	chrIV	13828314	13828334	+	21	0	0	0	0	0	0
WBGene00174759	chrIV	13828368	13828388	-	21	0	0	0	0	0	0
WBGene00048942	chrIV	13828371	13828391	-	21	0	0	0	0	0	0
WBGene00047268	chrIV	13828448	13828468	+	21	0	0	0	0	0	0
WBGene00046457	chrIV	13828642	13828662	+	21	0	0	0	0	0	0
WBGene00174589	chrIV	13829153	13829173	-	21	0	0	0	0	0	0
WBGene00171196	chrIV	13829154	13829174	-	21	0	0	0	0	0	0
WBGene00048753	chrIV	13829221	13829241	-	21	0	0	0	0	0	0
WBGene00166952	chrIV	13829446	13829466	+	21	0	0	0	0	0	0
WBGene00047602	chrIV	13829627	13829647	+	21	0	0	0	0	0	0
WBGene00050597	chrIV	13830206	13830226	-	21	0	0	0	0	0	0
WBGene00174233	chrIV	13830207	13830227	-	21	0	0	0	0	0	0
WBGene00046138	chrIV	13830698	13830718	+	21	0	0	0	0	0	0
WBGene00174699	chrIV	13830980	13831000	-	21	0	0	0	0	0	0
WBGene00173056	chrIV	13830981	13831001	-	21	0	0	0	0	0	0
WBGene00170920	chrIV	13831346	13831366	-	21	0	0	0	0	0	0
WBGene00050242	chrIV	13831350	13831370	-	21	0	0	0	0	0	0
WBGene00174996	chrIV	13831557	13831577	-	21	0	0	0	0	0	0
WBGene00167257	chrIV	13831558	13831578	-	21	0	0	0	0	0	0
WBGene00170578	chrIV	13831931	13831951	+	21	0	0	0	0	0	0
WBGene00048275	chrIV	13832159	13832179	-	21	0	0	0	0	0	0
WBGene00165011	chrIV	13832160	13832180	-	21	0	0	0	0	0	0
WBGene00049967	chrIV	13832900	13832920	-	21	0	0	0	0	0	0
WBGene00169840	chrIV	13832903	13832923	-	21	0	0	0	0	0	0
WBGene00050079	chrIV	13833141	13833161	+	21	0	0	0	0	0	0
WBGene00048620	chrIV	13833257	13833277	-	21	0	0	0	0	0	0
WBGene00046637	chrIV	13833653	13833673	+	21	0	0	0	0	0	0
WBGene00048301	chrIV	13833947	13833967	-	21	0	0	0	0	0	0
WBGene00047330	chrIV	13833948	13833968	-	21	0	0	0	0	0	0
WBGene00167046	chrIV	13834147	13834167	+	21	0	0	0	0	0	0
WBGene00010373	chrIV	13834286	13836390	-	2105	14	0	14	7	61	23
WBGene00168003	chrIV	13836505	13836525	-	21	0	0	0	0	0	0
WBGene00049130	chrIV	13836909	13836929	-	21	0	0	0	0	0	0
WBGene00171237	chrIV	13836912	13836932	-	21	0	0	0	0	0	0
WBGene00169621	chrIV	13837024	13837044	+	21	0	0	0	0	0	0
WBGene00166090	chrIV	13837722	13837742	-	21	0	0	0	0	0	0
WBGene00173829	chrIV	13837723	13837743	-	21	0	0	0	0	0	0
WBGene00167461	chrIV	13837809	13837829	+	21	0	0	0	0	0	0
WBGene00049330	chrIV	13837810	13837830	+	21	0	0	0	0	0	0
WBGene00047944	chrIV	13838041	13838061	+	21	0	0	0	0	0	0
WBGene00165607	chrIV	13838458	13838478	+	21	0	0	0	0	0	0
WBGene00045993	chrIV	13838459	13838479	+	21	0	0	0	0	0	0
WBGene00168109	chrIV	13838978	13838998	+	21	0	0	0	0	0	0
WBGene00048775	chrIV	13838981	13839001	+	21	0	0	0	0	0	0
WBGene00171259	chrIV	13839216	13839236	+	21	0	0	0	0	0	0
WBGene00045739	chrIV	13839495	13839515	-	21	0	0	0	0	0	0
WBGene00045585	chrIV	13839712	13839732	-	21	0	0	0	0	0	0
WBGene00045552	chrIV	13839715	13839735	-	21	0	0	0	0	0	0
WBGene00166163	chrIV	13839730	13839750	-	21	0	0	0	0	0	0
WBGene00045587	chrIV	13840064	13840084	+	21	0	0	0	0	0	0
WBGene00168929	chrIV	13840274	13840294	-	21	0	0	0	0	0	0
WBGene00049894	chrIV	13840374	13840394	-	21	0	0	0	0	0	0
WBGene00047096	chrIV	13840377	13840397	-	21	0	0	0	0	0	0
WBGene00166131	chrIV	13840925	13840945	-	21	0	0	0	0	0	0
WBGene00048681	chrIV	13841122	13841142	+	21	0	0	0	0	0	0
WBGene00172331	chrIV	13841463	13841483	-	21	0	0	0	0	0	0
WBGene00174984	chrIV	13841466	13841486	-	21	0	0	0	0	0	0
WBGene00048034	chrIV	13841856	13841876	-	21	0	0	0	0	0	0
WBGene00045933	chrIV	13841963	13841983	-	21	0	0	0	0	0	0
WBGene00046469	chrIV	13842496	13842516	-	21	0	0	0	0	0	0
WBGene00170043	chrIV	13842863	13842883	-	21	0	0	0	0	0	0
WBGene00173406	chrIV	13842866	13842886	-	21	0	0	0	0	0	0
WBGene00165728	chrIV	13843030	13843050	-	21	0	0	0	0	0	0
WBGene00171255	chrIV	13843334	13843354	-	21	16	0	49	42	26	14
WBGene00166235	chrIV	13843734	13843754	-	21	4	30	3	5	19	9
WBGene00173438	chrIV	13844465	13844485	+	21	0	0	0	0	0	0
WBGene00168493	chrIV	13844733	13844753	+	21	0	0	0	0	0	0
WBGene00171729	chrIV	13845053	13845073	-	21	0	0	0	0	0	0
WBGene00168956	chrIV	13845054	13845074	-	21	0	0	0	0	0	0
WBGene00007199	chrIV	13847777	13852712	-	4936	10	0	6	10	85	28
WBGene00045279	chrIV	13853590	13854137	-	548	0	0	0	0	0	0
WBGene00007198	chrIV	13854355	13857353	+	2999	2	0	0	2	18	11
WBGene00047698	chrIV	13858387	13858407	+	21	0	0	0	0	0	0
WBGene00045278	chrIV	13858842	13859006	+	165	0	0	0	0	0	0
WBGene00174523	chrIV	13859618	13859638	-	21	0	0	0	0	0	0
WBGene00172460	chrIV	13859916	13859936	-	21	0	0	0	0	0	0
WBGene00049267	chrIV	13859919	13859939	-	21	0	0	0	0	0	0
WBGene00171620	chrIV	13860092	13860112	-	21	0	0	0	0	0	0
WBGene00007200	chrIV	13860339	13865346	-	5008	244	190	144	220	263	721
WBGene00167556	chrIV	13860360	13860380	+	21	0	0	0	0	0	0
WBGene00050105	chrIV	13860478	13860498	-	21	0	0	0	0	0	0
WBGene00172007	chrIV	13861017	13861037	-	21	0	0	0	0	0	0
WBGene00165768	chrIV	13861232	13861252	+	21	0	0	0	0	0	0
WBGene00050672	chrIV	13863338	13863358	+	21	0	0	0	0	0	0
WBGene00048349	chrIV	13863445	13863465	-	21	0	0	0	0	0	0
WBGene00169798	chrIV	13863692	13863712	+	21	0	0	0	0	0	0
WBGene00046100	chrIV	13863695	13863715	+	21	0	0	0	0	0	0
WBGene00165887	chrIV	13863699	13863719	-	21	0	0	0	0	0	0
WBGene00050381	chrIV	13863915	13863935	-	21	0	0	0	0	0	0
WBGene00171599	chrIV	13864547	13864567	-	21	0	0	0	0	0	0
WBGene00170513	chrIV	13864550	13864570	-	21	0	0	0	0	0	0
WBGene00174479	chrIV	13865123	13865143	+	21	0	0	0	0	0	0
WBGene00167377	chrIV	13865591	13865611	-	21	0	0	0	0	0	0
WBGene00165758	chrIV	13865592	13865612	-	21	0	0	0	0	0	0
WBGene00173935	chrIV	13866109	13866129	-	21	0	0	0	0	0	0
WBGene00050301	chrIV	13866110	13866130	-	21	0	0	0	0	0	0
WBGene00049219	chrIV	13866333	13866353	-	21	0	0	0	0	0	0
WBGene00167133	chrIV	13866819	13866839	+	21	0	0	0	0	0	0
WBGene00235301	chrIV	13867074	13867418	+	345	2	0	0	1	0	0
WBGene00048639	chrIV	13867677	13867697	+	21	0	0	0	0	0	0
WBGene00173673	chrIV	13867680	13867700	+	21	0	0	0	0	0	0
WBGene00049202	chrIV	13868448	13868468	-	21	0	0	0	0	0	0
WBGene00007197	chrIV	13868556	13876615	-	8060	3097	1930	5171	5186	8068	6304
WBGene00173667	chrIV	13868811	13868831	+	21	1	0	1	6	0	0
WBGene00173135	chrIV	13869194	13869214	-	21	0	0	0	0	0	0
WBGene00166995	chrIV	13869635	13869655	-	21	0	0	0	0	0	0
WBGene00165581	chrIV	13869786	13869806	-	21	0	0	0	0	0	0
WBGene00167438	chrIV	13869787	13869807	-	21	0	0	0	0	0	0
WBGene00169831	chrIV	13869998	13870018	+	21	0	0	0	0	0	0
WBGene00009206	chrIV	13870265	13870336	+	72	0	0	0	0	0	0
WBGene00166866	chrIV	13870552	13870572	-	21	0	0	0	0	0	0
WBGene00167967	chrIV	13870711	13870731	+	21	0	0	0	0	0	0
WBGene00167489	chrIV	13871001	13871021	-	21	0	0	0	0	0	0
WBGene00173305	chrIV	13871254	13871274	-	21	0	0	0	0	0	0
WBGene00165100	chrIV	13871481	13871501	-	21	0	0	0	0	0	0
WBGene00165383	chrIV	13871567	13871587	-	21	0	0	0	0	0	0
WBGene00173882	chrIV	13871570	13871590	-	21	0	0	0	0	0	0
WBGene00049071	chrIV	13871731	13871751	-	21	0	0	0	0	0	0
WBGene00173331	chrIV	13872102	13872122	-	21	0	0	0	0	0	0
WBGene00170131	chrIV	13872627	13872647	-	21	0	0	0	0	0	0
WBGene00049502	chrIV	13873154	13873174	+	21	0	0	0	0	0	0
WBGene00046131	chrIV	13873398	13873418	-	21	0	0	0	0	0	0
WBGene00046926	chrIV	13873770	13873790	-	21	0	0	0	0	0	0
WBGene00168346	chrIV	13873773	13873793	-	21	0	0	0	0	0	0
WBGene00170739	chrIV	13874299	13874319	-	21	0	0	0	0	0	0
WBGene00167095	chrIV	13874582	13874602	-	21	0	0	0	0	0	0
WBGene00046434	chrIV	13874671	13874691	+	21	0	0	0	0	0	0
WBGene00172075	chrIV	13874946	13874966	+	21	0	0	0	0	0	0
WBGene00168952	chrIV	13875040	13875060	+	21	0	0	0	0	0	0
WBGene00173119	chrIV	13876646	13876666	-	21	0	0	0	0	0	0
WBGene00046859	chrIV	13877232	13877252	-	21	1	0	0	0	0	0
WBGene00047756	chrIV	13877500	13877520	-	21	2	0	0	0	0	0
WBGene00169006	chrIV	13878054	13878074	-	21	1	0	0	0	0	0
WBGene00048375	chrIV	13878425	13878445	-	21	0	0	0	0	0	0
WBGene00049340	chrIV	13878612	13878632	-	21	0	0	0	0	0	0
WBGene00170795	chrIV	13879420	13879440	-	21	0	0	0	5	0	0
WBGene00174872	chrIV	13879641	13879661	-	21	0	0	0	0	0	0
WBGene00047912	chrIV	13879644	13879664	-	21	0	0	0	0	0	0
WBGene00007196	chrIV	13880138	13881546	+	1409	269	103	198	143	497	391
WBGene00004443	chrIV	13882225	13882620	+	396	5529	3288	1604	2577	5186	8441
WBGene00007195	chrIV	13882734	13884177	+	1444	207	106	68	77	99	222
WBGene00167180	chrIV	13885459	13885479	+	21	0	0	0	0	0	0
WBGene00169100	chrIV	13885463	13885483	+	21	0	0	0	0	0	0
WBGene00047017	chrIV	13886176	13886196	+	21	0	0	0	0	0	0
WBGene00001562	chrIV	13888089	13893985	+	5897	7162	4680	7659	8873	11226	9662
WBGene00048267	chrIV	13888401	13888421	-	21	0	0	0	0	0	0
WBGene00047788	chrIV	13888503	13888523	-	21	0	0	0	0	0	0
WBGene00049675	chrIV	13888840	13888860	-	21	0	0	0	0	0	0
WBGene00047184	chrIV	13889092	13889112	-	21	0	0	0	0	0	0
WBGene00167273	chrIV	13889555	13889575	-	21	0	0	0	0	0	0
WBGene00165275	chrIV	13889556	13889576	-	21	0	0	0	0	0	0
WBGene00047264	chrIV	13889751	13889771	-	21	0	0	0	0	0	0
WBGene00045605	chrIV	13889765	13889785	-	21	0	0	0	0	0	0
WBGene00050419	chrIV	13889768	13889788	-	21	0	0	0	0	0	0
WBGene00168438	chrIV	13891283	13891303	-	21	0	0	0	0	0	0
WBGene00049112	chrIV	13891286	13891306	-	21	0	0	0	0	0	0
WBGene00172175	chrIV	13892800	13892820	+	21	0	0	0	0	0	0
WBGene00172088	chrIV	13892805	13892825	+	21	0	0	0	0	0	0
WBGene00174893	chrIV	13893696	13893716	+	21	0	0	0	0	0	0
WBGene00050366	chrIV	13893993	13894013	+	21	0	0	0	0	0	0
WBGene00169240	chrIV	13893996	13894016	+	21	0	0	0	0	0	0
WBGene00168478	chrIV	13894176	13894196	+	21	0	0	0	0	0	0
WBGene00050873	chrIV	13894177	13894197	+	21	0	0	0	0	0	0
WBGene00047695	chrIV	13894551	13894571	+	21	1	0	0	0	0	9
WBGene00168894	chrIV	13894749	13894769	+	21	0	0	0	0	0	0
WBGene00050571	chrIV	13894750	13894770	+	21	0	0	0	0	0	0
WBGene00047808	chrIV	13894945	13894965	+	21	0	0	6	0	0	0
WBGene00172548	chrIV	13895714	13895734	+	21	0	0	0	0	0	0
WBGene00049582	chrIV	13895715	13895735	+	21	0	0	0	0	0	0
WBGene00050287	chrIV	13895718	13895738	+	21	0	0	0	0	0	0
